Year,State,Ag District,County,Value,Location,ANSI Code,State Initial
2013,Alabama,Northern Valley,Lauderdale,154.6,"Lauderdale County, Alabama",01077,AL
2013,Alabama,Northern Valley,Lawrence,172.0,"Lawrence County, Alabama",01079,AL
2013,Alabama,Northern Valley,Limestone,159.3,"Limestone County, Alabama",01083,AL
2013,Alabama,Northern Valley,Madison,161.6,"Madison County, Alabama",01089,AL
2012,Alabama,Mountains & Eastern Valley,De Kalb,103.5,"De Kalb County, Alabama",01049,AL
2012,Alabama,Northern Valley,Lauderdale,75.7,"Lauderdale County, Alabama",01077,AL
2012,Alabama,Northern Valley,Lawrence,78.6,"Lawrence County, Alabama",01079,AL
2012,Alabama,Northern Valley,Limestone,71.9,"Limestone County, Alabama",01083,AL
2012,Alabama,Northern Valley,Madison,110.6,"Madison County, Alabama",01089,AL
2011,Alabama,Mountains & Eastern Valley,De Kalb,129.7,"De Kalb County, Alabama",01049,AL
2011,Alabama,Northern Valley,Lauderdale,124.8,"Lauderdale County, Alabama",01077,AL
2011,Alabama,Northern Valley,Lawrence,132.5,"Lawrence County, Alabama",01079,AL
2011,Alabama,Northern Valley,Limestone,128.3,"Limestone County, Alabama",01083,AL
2011,Alabama,Northern Valley,Madison,147.9,"Madison County, Alabama",01089,AL
2010,Alabama,Mountains & Eastern Valley,De Kalb,87.0,"De Kalb County, Alabama",01049,AL
2010,Alabama,Northern Valley,Lauderdale,126.5,"Lauderdale County, Alabama",01077,AL
2010,Alabama,Northern Valley,Lawrence,143.0,"Lawrence County, Alabama",01079,AL
2010,Alabama,Northern Valley,Limestone,144.5,"Limestone County, Alabama",01083,AL
2010,Alabama,Northern Valley,Madison,113.9,"Madison County, Alabama",01089,AL
2009,Alabama,Mountains & Eastern Valley,De Kalb,117.0,"De Kalb County, Alabama",01049,AL
2009,Alabama,Northern Valley,Lauderdale,130.0,"Lauderdale County, Alabama",01077,AL
2009,Alabama,Northern Valley,Lawrence,112.0,"Lawrence County, Alabama",01079,AL
2009,Alabama,Northern Valley,Limestone,142.0,"Limestone County, Alabama",01083,AL
2009,Alabama,Northern Valley,Madison,128.0,"Madison County, Alabama",01089,AL
2008,Alabama,Mountains & Eastern Valley,De Kalb,71.0,"De Kalb County, Alabama",01049,AL
2008,Alabama,Northern Valley,Lauderdale,99.0,"Lauderdale County, Alabama",01077,AL
2008,Alabama,Northern Valley,Lawrence,98.0,"Lawrence County, Alabama",01079,AL
2008,Alabama,Northern Valley,Limestone,122.0,"Limestone County, Alabama",01083,AL
2008,Alabama,Northern Valley,Madison,153.0,"Madison County, Alabama",01089,AL
2007,Alabama,Mountains & Eastern Valley,De Kalb,80.0,"De Kalb County, Alabama",01049,AL
2007,Alabama,Northern Valley,Lauderdale,92.0,"Lauderdale County, Alabama",01077,AL
2007,Alabama,Northern Valley,Lawrence,73.0,"Lawrence County, Alabama",01079,AL
2007,Alabama,Northern Valley,Limestone,100.0,"Limestone County, Alabama",01083,AL
2007,Alabama,Northern Valley,Madison,100.0,"Madison County, Alabama",01089,AL
2006,Alabama,Mountains & Eastern Valley,De Kalb,58.0,"De Kalb County, Alabama",01049,AL
2006,Alabama,Northern Valley,Lauderdale,84.0,"Lauderdale County, Alabama",01077,AL
2006,Alabama,Northern Valley,Lawrence,77.0,"Lawrence County, Alabama",01079,AL
2006,Alabama,Northern Valley,Limestone,85.0,"Limestone County, Alabama",01083,AL
2006,Alabama,Northern Valley,Madison,90.0,"Madison County, Alabama",01089,AL
2005,Alabama,Mountains & Eastern Valley,De Kalb,129.0,"De Kalb County, Alabama",01049,AL
2005,Alabama,Northern Valley,Lauderdale,112.0,"Lauderdale County, Alabama",01077,AL
2005,Alabama,Northern Valley,Lawrence,136.0,"Lawrence County, Alabama",01079,AL
2005,Alabama,Northern Valley,Limestone,139.0,"Limestone County, Alabama",01083,AL
2005,Alabama,Northern Valley,Madison,143.0,"Madison County, Alabama",01089,AL
2004,Alabama,Mountains & Eastern Valley,De Kalb,136.0,"De Kalb County, Alabama",01049,AL
2004,Alabama,Northern Valley,Lauderdale,135.0,"Lauderdale County, Alabama",01077,AL
2004,Alabama,Northern Valley,Lawrence,151.0,"Lawrence County, Alabama",01079,AL
2004,Alabama,Northern Valley,Limestone,150.0,"Limestone County, Alabama",01083,AL
2004,Alabama,Northern Valley,Madison,137.0,"Madison County, Alabama",01089,AL
2003,Alabama,Mountains & Eastern Valley,De Kalb,100.0,"De Kalb County, Alabama",01049,AL
2003,Alabama,Northern Valley,Lauderdale,145.0,"Lauderdale County, Alabama",01077,AL
2003,Alabama,Northern Valley,Lawrence,153.0,"Lawrence County, Alabama",01079,AL
2003,Alabama,Northern Valley,Limestone,150.0,"Limestone County, Alabama",01083,AL
2003,Alabama,Northern Valley,Madison,125.0,"Madison County, Alabama",01089,AL
2002,Alabama,Mountains & Eastern Valley,De Kalb,84.0,"De Kalb County, Alabama",01049,AL
2002,Alabama,Northern Valley,Lauderdale,99.0,"Lauderdale County, Alabama",01077,AL
2002,Alabama,Northern Valley,Lawrence,115.0,"Lawrence County, Alabama",01079,AL
2002,Alabama,Northern Valley,Limestone,107.0,"Limestone County, Alabama",01083,AL
2002,Alabama,Northern Valley,Madison,102.0,"Madison County, Alabama",01089,AL
2001,Alabama,Mountains & Eastern Valley,De Kalb,117.0,"De Kalb County, Alabama",01049,AL
2001,Alabama,Northern Valley,Lauderdale,128.0,"Lauderdale County, Alabama",01077,AL
2001,Alabama,Northern Valley,Lawrence,138.0,"Lawrence County, Alabama",01079,AL
2001,Alabama,Northern Valley,Limestone,146.0,"Limestone County, Alabama",01083,AL
2001,Alabama,Northern Valley,Madison,118.0,"Madison County, Alabama",01089,AL
2000,Alabama,Mountains & Eastern Valley,De Kalb,80.0,"De Kalb County, Alabama",01049,AL
2000,Alabama,Northern Valley,Lauderdale,95.0,"Lauderdale County, Alabama",01077,AL
2000,Alabama,Northern Valley,Lawrence,99.0,"Lawrence County, Alabama",01079,AL
2000,Alabama,Northern Valley,Limestone,86.0,"Limestone County, Alabama",01083,AL
2000,Alabama,Northern Valley,Madison,88.0,"Madison County, Alabama",01089,AL
1999,Alabama,Mountains & Eastern Valley,De Kalb,101.0,"De Kalb County, Alabama",01049,AL
1999,Alabama,Northern Valley,Lauderdale,100.0,"Lauderdale County, Alabama",01077,AL
1999,Alabama,Northern Valley,Lawrence,136.0,"Lawrence County, Alabama",01079,AL
1999,Alabama,Northern Valley,Limestone,112.0,"Limestone County, Alabama",01083,AL
1999,Alabama,Northern Valley,Madison,121.0,"Madison County, Alabama",01089,AL
1998,Alabama,Mountains & Eastern Valley,De Kalb,74.0,"De Kalb County, Alabama",01049,AL
1998,Alabama,Northern Valley,Lauderdale,61.0,"Lauderdale County, Alabama",01077,AL
1998,Alabama,Northern Valley,Lawrence,68.0,"Lawrence County, Alabama",01079,AL
1998,Alabama,Northern Valley,Limestone,71.0,"Limestone County, Alabama",01083,AL
1998,Alabama,Northern Valley,Madison,68.0,"Madison County, Alabama",01089,AL
1997,Alabama,Mountains & Eastern Valley,De Kalb,86.0,"De Kalb County, Alabama",01049,AL
1997,Alabama,Northern Valley,Lauderdale,76.0,"Lauderdale County, Alabama",01077,AL
1997,Alabama,Northern Valley,Lawrence,108.0,"Lawrence County, Alabama",01079,AL
1997,Alabama,Northern Valley,Limestone,86.0,"Limestone County, Alabama",01083,AL
1997,Alabama,Northern Valley,Madison,83.0,"Madison County, Alabama",01089,AL
1996,Alabama,Mountains & Eastern Valley,De Kalb,92.0,"De Kalb County, Alabama",01049,AL
1996,Alabama,Northern Valley,Lauderdale,80.0,"Lauderdale County, Alabama",01077,AL
1996,Alabama,Northern Valley,Lawrence,82.0,"Lawrence County, Alabama",01079,AL
1996,Alabama,Northern Valley,Limestone,90.0,"Limestone County, Alabama",01083,AL
1996,Alabama,Northern Valley,Madison,93.0,"Madison County, Alabama",01089,AL
1995,Alabama,Mountains & Eastern Valley,De Kalb,65.0,"De Kalb County, Alabama",01049,AL
1995,Alabama,Northern Valley,Lauderdale,95.0,"Lauderdale County, Alabama",01077,AL
1995,Alabama,Northern Valley,Lawrence,92.0,"Lawrence County, Alabama",01079,AL
1995,Alabama,Northern Valley,Limestone,94.0,"Limestone County, Alabama",01083,AL
1995,Alabama,Northern Valley,Madison,104.0,"Madison County, Alabama",01089,AL
1994,Alabama,Mountains & Eastern Valley,De Kalb,109.9,"De Kalb County, Alabama",01049,AL
1994,Alabama,Northern Valley,Lauderdale,96.2,"Lauderdale County, Alabama",01077,AL
1994,Alabama,Northern Valley,Lawrence,110.9,"Lawrence County, Alabama",01079,AL
1994,Alabama,Northern Valley,Limestone,93.9,"Limestone County, Alabama",01083,AL
1994,Alabama,Northern Valley,Madison,116.7,"Madison County, Alabama",01089,AL
1993,Alabama,Mountains & Eastern Valley,De Kalb,53.8,"De Kalb County, Alabama",01049,AL
1993,Alabama,Northern Valley,Lauderdale,54.7,"Lauderdale County, Alabama",01077,AL
1993,Alabama,Northern Valley,Lawrence,65.6,"Lawrence County, Alabama",01079,AL
1993,Alabama,Northern Valley,Limestone,66.7,"Limestone County, Alabama",01083,AL
1993,Alabama,Northern Valley,Madison,50.0,"Madison County, Alabama",01089,AL
1992,Alabama,Mountains & Eastern Valley,De Kalb,123.7,"De Kalb County, Alabama",01049,AL
1992,Alabama,Northern Valley,Lauderdale,104.0,"Lauderdale County, Alabama",01077,AL
1992,Alabama,Northern Valley,Lawrence,109.2,"Lawrence County, Alabama",01079,AL
1992,Alabama,Northern Valley,Limestone,119.1,"Limestone County, Alabama",01083,AL
1992,Alabama,Northern Valley,Madison,98.9,"Madison County, Alabama",01089,AL
1991,Alabama,Mountains & Eastern Valley,De Kalb,85.6,"De Kalb County, Alabama",01049,AL
1991,Alabama,Northern Valley,Lauderdale,54.5,"Lauderdale County, Alabama",01077,AL
1991,Alabama,Northern Valley,Lawrence,78.6,"Lawrence County, Alabama",01079,AL
1991,Alabama,Northern Valley,Limestone,70.2,"Limestone County, Alabama",01083,AL
1991,Alabama,Northern Valley,Madison,82.0,"Madison County, Alabama",01089,AL
2020,Arkansas,Northeast,Clay,196.9,"Clay County, Arkansas",05021,AR
2020,Arkansas,Northeast,Craighead,195.4,"Craighead County, Arkansas",05031,AR
2020,Arkansas,Northeast,Greene,179.7,"Greene County, Arkansas",05055,AR
2020,Arkansas,Northeast,Jackson,168.1,"Jackson County, Arkansas",05067,AR
2020,Arkansas,East Central,Woodruff,199.3,"Woodruff County, Arkansas",05147,AR
2019,Arkansas,Northeast,Clay,178.3,"Clay County, Arkansas",05021,AR
2019,Arkansas,Northeast,Craighead,191.9,"Craighead County, Arkansas",05031,AR
2019,Arkansas,Northeast,Greene,182.3,"Greene County, Arkansas",05055,AR
2019,Arkansas,Northeast,Jackson,178.1,"Jackson County, Arkansas",05067,AR
2019,Arkansas,East Central,Woodruff,162.3,"Woodruff County, Arkansas",05147,AR
2018,Arkansas,Northeast,Clay,189.7,"Clay County, Arkansas",05021,AR
2018,Arkansas,Northeast,Craighead,196.4,"Craighead County, Arkansas",05031,AR
2018,Arkansas,Northeast,Greene,176.3,"Greene County, Arkansas",05055,AR
2018,Arkansas,Northeast,Jackson,177.0,"Jackson County, Arkansas",05067,AR
2018,Arkansas,East Central,Woodruff,188.1,"Woodruff County, Arkansas",05147,AR
2017,Arkansas,Northeast,Clay,203.4,"Clay County, Arkansas",05021,AR
2017,Arkansas,Northeast,Craighead,185.4,"Craighead County, Arkansas",05031,AR
2017,Arkansas,Northeast,Greene,186.3,"Greene County, Arkansas",05055,AR
2017,Arkansas,Northeast,Jackson,174.2,"Jackson County, Arkansas",05067,AR
2017,Arkansas,East Central,Woodruff,177.4,"Woodruff County, Arkansas",05147,AR
2016,Arkansas,Northeast,Clay,172.9,"Clay County, Arkansas",05021,AR
2016,Arkansas,Northeast,Craighead,184.4,"Craighead County, Arkansas",05031,AR
2016,Arkansas,Northeast,Greene,168.8,"Greene County, Arkansas",05055,AR
2016,Arkansas,Northeast,Jackson,147.3,"Jackson County, Arkansas",05067,AR
2016,Arkansas,East Central,Woodruff,159.6,"Woodruff County, Arkansas",05147,AR
2015,Arkansas,Northeast,Clay,180.8,"Clay County, Arkansas",05021,AR
2015,Arkansas,Northeast,Craighead,179.9,"Craighead County, Arkansas",05031,AR
2015,Arkansas,Northeast,Greene,175.2,"Greene County, Arkansas",05055,AR
2015,Arkansas,Northeast,Jackson,168.9,"Jackson County, Arkansas",05067,AR
2015,Arkansas,East Central,Woodruff,164.4,"Woodruff County, Arkansas",05147,AR
2014,Arkansas,Northeast,Clay,194.6,"Clay County, Arkansas",05021,AR
2014,Arkansas,Northeast,Craighead,183.8,"Craighead County, Arkansas",05031,AR
2014,Arkansas,Northeast,Greene,182.5,"Greene County, Arkansas",05055,AR
2014,Arkansas,Northeast,Jackson,173.0,"Jackson County, Arkansas",05067,AR
2014,Arkansas,East Central,Woodruff,172.5,"Woodruff County, Arkansas",05147,AR
2013,Arkansas,Northeast,Clay,191.9,"Clay County, Arkansas",05021,AR
2013,Arkansas,Northeast,Craighead,189.3,"Craighead County, Arkansas",05031,AR
2013,Arkansas,Northeast,Greene,176.0,"Greene County, Arkansas",05055,AR
2013,Arkansas,Northeast,Jackson,174.7,"Jackson County, Arkansas",05067,AR
2013,Arkansas,East Central,Woodruff,167.0,"Woodruff County, Arkansas",05147,AR
2012,Arkansas,Northeast,Clay,182.7,"Clay County, Arkansas",05021,AR
2012,Arkansas,Northeast,Craighead,191.1,"Craighead County, Arkansas",05031,AR
2012,Arkansas,Northeast,Greene,144.6,"Greene County, Arkansas",05055,AR
2012,Arkansas,Northeast,Jackson,166.9,"Jackson County, Arkansas",05067,AR
2012,Arkansas,East Central,Woodruff,175.9,"Woodruff County, Arkansas",05147,AR
2011,Arkansas,Northeast,Clay,144.5,"Clay County, Arkansas",05021,AR
2011,Arkansas,Northeast,Craighead,147.3,"Craighead County, Arkansas",05031,AR
2011,Arkansas,Northeast,Greene,110.3,"Greene County, Arkansas",05055,AR
2011,Arkansas,Northeast,Jackson,147.4,"Jackson County, Arkansas",05067,AR
2011,Arkansas,East Central,Woodruff,146.0,"Woodruff County, Arkansas",05147,AR
2010,Arkansas,Northeast,Clay,156.0,"Clay County, Arkansas",05021,AR
2010,Arkansas,Northeast,Craighead,169.6,"Craighead County, Arkansas",05031,AR
2010,Arkansas,Northeast,Greene,159.0,"Greene County, Arkansas",05055,AR
2010,Arkansas,Northeast,Jackson,150.0,"Jackson County, Arkansas",05067,AR
2010,Arkansas,East Central,Woodruff,153.1,"Woodruff County, Arkansas",05147,AR
2009,Arkansas,Northeast,Clay,163.0,"Clay County, Arkansas",05021,AR
2009,Arkansas,Northeast,Craighead,168.0,"Craighead County, Arkansas",05031,AR
2009,Arkansas,Northeast,Greene,149.0,"Greene County, Arkansas",05055,AR
2009,Arkansas,Northeast,Jackson,153.0,"Jackson County, Arkansas",05067,AR
2009,Arkansas,East Central,Woodruff,139.0,"Woodruff County, Arkansas",05147,AR
2008,Arkansas,Northeast,Clay,165.0,"Clay County, Arkansas",05021,AR
2008,Arkansas,Northeast,Craighead,170.0,"Craighead County, Arkansas",05031,AR
2008,Arkansas,Northeast,Greene,153.0,"Greene County, Arkansas",05055,AR
2008,Arkansas,Northeast,Jackson,150.0,"Jackson County, Arkansas",05067,AR
2008,Arkansas,East Central,Woodruff,135.0,"Woodruff County, Arkansas",05147,AR
2007,Arkansas,Northeast,Clay,176.0,"Clay County, Arkansas",05021,AR
2007,Arkansas,Northeast,Craighead,184.0,"Craighead County, Arkansas",05031,AR
2007,Arkansas,Northeast,Greene,172.0,"Greene County, Arkansas",05055,AR
2007,Arkansas,Northeast,Jackson,149.0,"Jackson County, Arkansas",05067,AR
2007,Arkansas,East Central,Woodruff,153.0,"Woodruff County, Arkansas",05147,AR
2006,Arkansas,Northeast,Clay,173.0,"Clay County, Arkansas",05021,AR
2006,Arkansas,Northeast,Craighead,145.0,"Craighead County, Arkansas",05031,AR
2006,Arkansas,Northeast,Greene,145.0,"Greene County, Arkansas",05055,AR
2006,Arkansas,Northeast,Jackson,156.0,"Jackson County, Arkansas",05067,AR
2006,Arkansas,East Central,Woodruff,152.0,"Woodruff County, Arkansas",05147,AR
2005,Arkansas,Northeast,Clay,149.0,"Clay County, Arkansas",05021,AR
2005,Arkansas,Northeast,Craighead,136.0,"Craighead County, Arkansas",05031,AR
2005,Arkansas,Northeast,Greene,124.0,"Greene County, Arkansas",05055,AR
2005,Arkansas,Northeast,Jackson,130.0,"Jackson County, Arkansas",05067,AR
2005,Arkansas,East Central,Woodruff,120.0,"Woodruff County, Arkansas",05147,AR
2004,Arkansas,Northeast,Clay,164.0,"Clay County, Arkansas",05021,AR
2004,Arkansas,Northeast,Craighead,160.0,"Craighead County, Arkansas",05031,AR
2004,Arkansas,Northeast,Greene,147.0,"Greene County, Arkansas",05055,AR
2004,Arkansas,Northeast,Jackson,151.0,"Jackson County, Arkansas",05067,AR
2004,Arkansas,East Central,Woodruff,138.0,"Woodruff County, Arkansas",05147,AR
2003,Arkansas,Northeast,Clay,156.0,"Clay County, Arkansas",05021,AR
2003,Arkansas,Northeast,Craighead,154.0,"Craighead County, Arkansas",05031,AR
2003,Arkansas,Northeast,Greene,139.0,"Greene County, Arkansas",05055,AR
2003,Arkansas,Northeast,Jackson,140.0,"Jackson County, Arkansas",05067,AR
2003,Arkansas,East Central,Woodruff,146.0,"Woodruff County, Arkansas",05147,AR
2002,Arkansas,Northeast,Clay,145.0,"Clay County, Arkansas",05021,AR
2002,Arkansas,Northeast,Craighead,123.0,"Craighead County, Arkansas",05031,AR
2002,Arkansas,Northeast,Greene,125.0,"Greene County, Arkansas",05055,AR
2002,Arkansas,Northeast,Jackson,147.0,"Jackson County, Arkansas",05067,AR
2002,Arkansas,East Central,Woodruff,144.0,"Woodruff County, Arkansas",05147,AR
2001,Arkansas,Northeast,Clay,148.0,"Clay County, Arkansas",05021,AR
2001,Arkansas,Northeast,Craighead,130.0,"Craighead County, Arkansas",05031,AR
2001,Arkansas,Northeast,Greene,140.0,"Greene County, Arkansas",05055,AR
2001,Arkansas,Northeast,Jackson,157.0,"Jackson County, Arkansas",05067,AR
2001,Arkansas,East Central,Woodruff,150.0,"Woodruff County, Arkansas",05147,AR
2000,Arkansas,Northeast,Clay,130.0,"Clay County, Arkansas",05021,AR
2000,Arkansas,Northeast,Craighead,130.0,"Craighead County, Arkansas",05031,AR
2000,Arkansas,Northeast,Greene,125.0,"Greene County, Arkansas",05055,AR
2000,Arkansas,Northeast,Jackson,140.0,"Jackson County, Arkansas",05067,AR
2000,Arkansas,East Central,Woodruff,140.0,"Woodruff County, Arkansas",05147,AR
1999,Arkansas,Northeast,Clay,130.0,"Clay County, Arkansas",05021,AR
1999,Arkansas,Northeast,Craighead,102.0,"Craighead County, Arkansas",05031,AR
1999,Arkansas,Northeast,Greene,124.0,"Greene County, Arkansas",05055,AR
1999,Arkansas,Northeast,Jackson,158.0,"Jackson County, Arkansas",05067,AR
1999,Arkansas,East Central,Woodruff,126.0,"Woodruff County, Arkansas",05147,AR
1998,Arkansas,Northeast,Clay,111.4,"Clay County, Arkansas",05021,AR
1998,Arkansas,Northeast,Craighead,86.0,"Craighead County, Arkansas",05031,AR
1998,Arkansas,Northeast,Greene,110.4,"Greene County, Arkansas",05055,AR
1998,Arkansas,Northeast,Jackson,110.4,"Jackson County, Arkansas",05067,AR
1998,Arkansas,East Central,Woodruff,90.3,"Woodruff County, Arkansas",05147,AR
1997,Arkansas,Northeast,Clay,133.4,"Clay County, Arkansas",05021,AR
1997,Arkansas,Northeast,Craighead,129.1,"Craighead County, Arkansas",05031,AR
1997,Arkansas,Northeast,Greene,107.7,"Greene County, Arkansas",05055,AR
1997,Arkansas,Northeast,Jackson,109.1,"Jackson County, Arkansas",05067,AR
1997,Arkansas,East Central,Woodruff,116.3,"Woodruff County, Arkansas",05147,AR
1996,Arkansas,Northeast,Clay,141.7,"Clay County, Arkansas",05021,AR
1996,Arkansas,Northeast,Craighead,132.0,"Craighead County, Arkansas",05031,AR
1996,Arkansas,Northeast,Greene,126.4,"Greene County, Arkansas",05055,AR
1996,Arkansas,Northeast,Jackson,120.0,"Jackson County, Arkansas",05067,AR
1996,Arkansas,East Central,Woodruff,123.3,"Woodruff County, Arkansas",05147,AR
1995,Arkansas,Northeast,Clay,136.0,"Clay County, Arkansas",05021,AR
1995,Arkansas,Northeast,Craighead,126.0,"Craighead County, Arkansas",05031,AR
1995,Arkansas,Northeast,Greene,124.0,"Greene County, Arkansas",05055,AR
1995,Arkansas,Northeast,Jackson,119.0,"Jackson County, Arkansas",05067,AR
1995,Arkansas,East Central,Woodruff,117.0,"Woodruff County, Arkansas",05147,AR
1994,Arkansas,Northeast,Clay,144.3,"Clay County, Arkansas",05021,AR
1994,Arkansas,Northeast,Craighead,132.1,"Craighead County, Arkansas",05031,AR
1994,Arkansas,Northeast,Greene,127.0,"Greene County, Arkansas",05055,AR
1994,Arkansas,Northeast,Jackson,129.8,"Jackson County, Arkansas",05067,AR
1994,Arkansas,East Central,Woodruff,111.7,"Woodruff County, Arkansas",05147,AR
1993,Arkansas,Northeast,Clay,115.2,"Clay County, Arkansas",05021,AR
1993,Arkansas,Northeast,Craighead,70.2,"Craighead County, Arkansas",05031,AR
1993,Arkansas,Northeast,Greene,73.3,"Greene County, Arkansas",05055,AR
1993,Arkansas,Northeast,Jackson,96.6,"Jackson County, Arkansas",05067,AR
1993,Arkansas,East Central,Woodruff,102.4,"Woodruff County, Arkansas",05147,AR
1992,Arkansas,Northeast,Clay,154.2,"Clay County, Arkansas",05021,AR
1992,Arkansas,Northeast,Craighead,140.4,"Craighead County, Arkansas",05031,AR
1992,Arkansas,Northeast,Greene,125.0,"Greene County, Arkansas",05055,AR
1992,Arkansas,Northeast,Jackson,159.4,"Jackson County, Arkansas",05067,AR
1992,Arkansas,East Central,Woodruff,115.5,"Woodruff County, Arkansas",05147,AR
1991,Arkansas,Northeast,Clay,111.3,"Clay County, Arkansas",05021,AR
1991,Arkansas,Northeast,Craighead,114.7,"Craighead County, Arkansas",05031,AR
1991,Arkansas,Northeast,Greene,120.0,"Greene County, Arkansas",05055,AR
1991,Arkansas,Northeast,Jackson,103.4,"Jackson County, Arkansas",05067,AR
1991,Arkansas,East Central,Woodruff,87.8,"Woodruff County, Arkansas",05147,AR
2020,Colorado,East Central,Yuma,174.8,"Yuma County, Colorado",08125,CO
2019,Colorado,East Central,Yuma,174.8,"Yuma County, Colorado",08125,CO
2018,Colorado,East Central,Yuma,198.0,"Yuma County, Colorado",08125,CO
2017,Colorado,East Central,Yuma,194.4,"Yuma County, Colorado",08125,CO
2016,Colorado,East Central,Yuma,183.5,"Yuma County, Colorado",08125,CO
2015,Colorado,East Central,Yuma,193.2,"Yuma County, Colorado",08125,CO
2014,Colorado,East Central,Yuma,196.9,"Yuma County, Colorado",08125,CO
2013,Colorado,East Central,Yuma,186.8,"Yuma County, Colorado",08125,CO
2012,Colorado,East Central,Yuma,189.3,"Yuma County, Colorado",08125,CO
2011,Colorado,East Central,Yuma,177.5,"Yuma County, Colorado",08125,CO
2010,Colorado,East Central,Yuma,189.5,"Yuma County, Colorado",08125,CO
2009,Colorado,East Central,Yuma,176.0,"Yuma County, Colorado",08125,CO
2008,Colorado,East Central,Yuma,181.0,"Yuma County, Colorado",08125,CO
2007,Colorado,East Central,Yuma,193.0,"Yuma County, Colorado",08125,CO
2006,Colorado,East Central,Yuma,218.5,"Yuma County, Colorado",08125,CO
2005,Colorado,East Central,Yuma,194.0,"Yuma County, Colorado",08125,CO
2004,Colorado,East Central,Yuma,184.5,"Yuma County, Colorado",08125,CO
2003,Colorado,East Central,Yuma,183.0,"Yuma County, Colorado",08125,CO
2002,Colorado,East Central,Yuma,185.0,"Yuma County, Colorado",08125,CO
2001,Colorado,East Central,Yuma,183.5,"Yuma County, Colorado",08125,CO
2000,Colorado,East Central,Yuma,167.5,"Yuma County, Colorado",08125,CO
1999,Colorado,East Central,Yuma,162.5,"Yuma County, Colorado",08125,CO
1998,Colorado,East Central,Yuma,166.5,"Yuma County, Colorado",08125,CO
1997,Colorado,East Central,Yuma,168.0,"Yuma County, Colorado",08125,CO
1996,Colorado,East Central,Yuma,149.0,"Yuma County, Colorado",08125,CO
1995,Colorado,East Central,Yuma,121.0,"Yuma County, Colorado",08125,CO
1994,Colorado,East Central,Yuma,169.5,"Yuma County, Colorado",08125,CO
