Year,State,Ag District,County,Value,Location,ANSI Code,State Initial
2019,Idaho,North,Benewah,73.1,"Benewah County, Idaho",16009,ID
2019,Idaho,North,Idaho,75.8,"Idaho County, Idaho",16049,ID
2019,Idaho,North,Lewis,69.2,"Lewis County, Idaho",16061,ID
2019,Idaho,East,Power,79.8,"Power County, Idaho",16077,ID
2018,Idaho,North,Benewah,83.1,"Benewah County, Idaho",16009,ID
2018,Idaho,North,Idaho,86.2,"Idaho County, Idaho",16049,ID
2018,Idaho,North,Lewis,78.1,"Lewis County, Idaho",16061,ID
2018,Idaho,East,Power,78.7,"Power County, Idaho",16077,ID
2017,Idaho,North,Benewah,68.6,"Benewah County, Idaho",16009,ID
2017,Idaho,North,Idaho,59.8,"Idaho County, Idaho",16049,ID
2017,Idaho,North,Lewis,53.1,"Lewis County, Idaho",16061,ID
2017,Idaho,East,Power,78.8,"Power County, Idaho",16077,ID
2016,Idaho,North,Benewah,84.0,"Benewah County, Idaho",16009,ID
2016,Idaho,North,Idaho,93.4,"Idaho County, Idaho",16049,ID
2016,Idaho,North,Lewis,91.0,"Lewis County, Idaho",16061,ID
2016,Idaho,East,Power,79.6,"Power County, Idaho",16077,ID
2015,Idaho,North,Benewah,57.7,"Benewah County, Idaho",16009,ID
2015,Idaho,North,Idaho,61.5,"Idaho County, Idaho",16049,ID
2015,Idaho,North,Lewis,62.7,"Lewis County, Idaho",16061,ID
2015,Idaho,East,Power,79.2,"Power County, Idaho",16077,ID
2014,Idaho,North,Benewah,57.6,"Benewah County, Idaho",16009,ID
2014,Idaho,North,Idaho,76.7,"Idaho County, Idaho",16049,ID
2014,Idaho,North,Lewis,66.2,"Lewis County, Idaho",16061,ID
2014,Idaho,East,Power,70.0,"Power County, Idaho",16077,ID
2013,Idaho,North,Benewah,74.6,"Benewah County, Idaho",16009,ID
2013,Idaho,North,Idaho,81.0,"Idaho County, Idaho",16049,ID
2013,Idaho,North,Lewis,71.0,"Lewis County, Idaho",16061,ID
2013,Idaho,East,Power,68.4,"Power County, Idaho",16077,ID
2012,Idaho,North,Benewah,74.7,"Benewah County, Idaho",16009,ID
2012,Idaho,North,Idaho,81.2,"Idaho County, Idaho",16049,ID
2012,Idaho,North,Lewis,73.3,"Lewis County, Idaho",16061,ID
2012,Idaho,East,Power,67.6,"Power County, Idaho",16077,ID
2011,Idaho,North,Benewah,67.5,"Benewah County, Idaho",16009,ID
2011,Idaho,North,Idaho,60.2,"Idaho County, Idaho",16049,ID
2011,Idaho,North,Lewis,69.8,"Lewis County, Idaho",16061,ID
2011,Idaho,East,Power,65.3,"Power County, Idaho",16077,ID
2010,Idaho,North,Benewah,76.5,"Benewah County, Idaho",16009,ID
2010,Idaho,North,Idaho,76.0,"Idaho County, Idaho",16049,ID
2010,Idaho,North,Lewis,67.6,"Lewis County, Idaho",16061,ID
2010,Idaho,East,Power,66.8,"Power County, Idaho",16077,ID
2009,Idaho,North,Benewah,64.0,"Benewah County, Idaho",16009,ID
2009,Idaho,North,Idaho,76.5,"Idaho County, Idaho",16049,ID
2009,Idaho,North,Lewis,62.5,"Lewis County, Idaho",16061,ID
2009,Idaho,East,Power,80.5,"Power County, Idaho",16077,ID
2008,Idaho,North,Benewah,62.0,"Benewah County, Idaho",16009,ID
2008,Idaho,North,Idaho,56.0,"Idaho County, Idaho",16049,ID
2008,Idaho,North,Lewis,48.0,"Lewis County, Idaho",16061,ID
2008,Idaho,East,Power,70.5,"Power County, Idaho",16077,ID
2007,Idaho,North,Benewah,67.5,"Benewah County, Idaho",16009,ID
2007,Idaho,North,Idaho,63.6,"Idaho County, Idaho",16049,ID
2007,Idaho,North,Lewis,53.7,"Lewis County, Idaho",16061,ID
2007,Idaho,East,Power,64.1,"Power County, Idaho",16077,ID
2006,Idaho,North,Benewah,65.4,"Benewah County, Idaho",16009,ID
2006,Idaho,North,Idaho,73.0,"Idaho County, Idaho",16049,ID
2006,Idaho,North,Lewis,64.0,"Lewis County, Idaho",16061,ID
2006,Idaho,East,Power,69.7,"Power County, Idaho",16077,ID
2005,Idaho,North,Benewah,85.7,"Benewah County, Idaho",16009,ID
2005,Idaho,North,Idaho,80.4,"Idaho County, Idaho",16049,ID
2005,Idaho,North,Lewis,78.7,"Lewis County, Idaho",16061,ID
2005,Idaho,East,Power,85.0,"Power County, Idaho",16077,ID
2004,Idaho,North,Benewah,79.2,"Benewah County, Idaho",16009,ID
2004,Idaho,North,Idaho,81.1,"Idaho County, Idaho",16049,ID
2004,Idaho,North,Lewis,79.3,"Lewis County, Idaho",16061,ID
2004,Idaho,East,Power,75.9,"Power County, Idaho",16077,ID
2003,Idaho,North,Benewah,69.0,"Benewah County, Idaho",16009,ID
2003,Idaho,North,Idaho,69.8,"Idaho County, Idaho",16049,ID
2003,Idaho,North,Lewis,66.3,"Lewis County, Idaho",16061,ID
2003,Idaho,East,Power,59.3,"Power County, Idaho",16077,ID
2002,Idaho,North,Benewah,69.7,"Benewah County, Idaho",16009,ID
2002,Idaho,North,Idaho,75.4,"Idaho County, Idaho",16049,ID
2002,Idaho,North,Lewis,70.2,"Lewis County, Idaho",16061,ID
2002,Idaho,East,Power,57.5,"Power County, Idaho",16077,ID
2001,Idaho,North,Benewah,70.0,"Benewah County, Idaho",16009,ID
2001,Idaho,North,Idaho,68.5,"Idaho County, Idaho",16049,ID
2001,Idaho,North,Lewis,70.0,"Lewis County, Idaho",16061,ID
2001,Idaho,East,Power,46.2,"Power County, Idaho",16077,ID
2000,Idaho,North,Benewah,80.6,"Benewah County, Idaho",16009,ID
2000,Idaho,North,Idaho,84.8,"Idaho County, Idaho",16049,ID
2000,Idaho,North,Lewis,80.8,"Lewis County, Idaho",16061,ID
2000,Idaho,East,Power,81.2,"Power County, Idaho",16077,ID
1999,Idaho,North,Benewah,50.0,"Benewah County, Idaho",16009,ID
1999,Idaho,North,Idaho,54.7,"Idaho County, Idaho",16049,ID
1999,Idaho,North,Lewis,61.3,"Lewis County, Idaho",16061,ID
1999,Idaho,East,Power,62.1,"Power County, Idaho",16077,ID
1998,Idaho,North,Benewah,71.1,"Benewah County, Idaho",16009,ID
1998,Idaho,North,Idaho,72.7,"Idaho County, Idaho",16049,ID
1998,Idaho,North,Lewis,66.8,"Lewis County, Idaho",16061,ID
1998,Idaho,East,Power,63.2,"Power County, Idaho",16077,ID
1997,Idaho,North,Benewah,64.1,"Benewah County, Idaho",16009,ID
1997,Idaho,North,Idaho,62.4,"Idaho County, Idaho",16049,ID
1997,Idaho,North,Lewis,61.6,"Lewis County, Idaho",16061,ID
1997,Idaho,East,Power,65.8,"Power County, Idaho",16077,ID
1996,Idaho,North,Benewah,61.9,"Benewah County, Idaho",16009,ID
1996,Idaho,North,Idaho,61.2,"Idaho County, Idaho",16049,ID
1996,Idaho,North,Lewis,59.3,"Lewis County, Idaho",16061,ID
1996,Idaho,East,Power,62.9,"Power County, Idaho",16077,ID
1995,Idaho,North,Benewah,58.2,"Benewah County, Idaho",16009,ID
1995,Idaho,North,Idaho,69.8,"Idaho County, Idaho",16049,ID
1995,Idaho,North,Lewis,72.3,"Lewis County, Idaho",16061,ID
1995,Idaho,East,Power,64.9,"Power County, Idaho",16077,ID
1994,Idaho,North,Benewah,62.4,"Benewah County, Idaho",16009,ID
1994,Idaho,North,Idaho,69.0,"Idaho County, Idaho",16049,ID
1994,Idaho,North,Lewis,66.9,"Lewis County, Idaho",16061,ID
1994,Idaho,East,Power,60.2,"Power County, Idaho",16077,ID
1993,Idaho,North,Benewah,59.1,"Benewah County, Idaho",16009,ID
1993,Idaho,North,Idaho,74.3,"Idaho County, Idaho",16049,ID
1993,Idaho,North,Lewis,65.0,"Lewis County, Idaho",16061,ID
1993,Idaho,East,Power,63.3,"Power County, Idaho",16077,ID
1992,Idaho,North,Benewah,57.3,"Benewah County, Idaho",16009,ID
1992,Idaho,North,Idaho,45.8,"Idaho County, Idaho",16049,ID
1992,Idaho,North,Lewis,48.0,"Lewis County, Idaho",16061,ID
1992,Idaho,East,Power,56.0,"Power County, Idaho",16077,ID
1991,Idaho,North,Benewah,55.4,"Benewah County, Idaho",16009,ID
1991,Idaho,North,Idaho,59.5,"Idaho County, Idaho",16049,ID
1991,Idaho,North,Lewis,67.7,"Lewis County, Idaho",16061,ID
1991,Idaho,East,Power,54.7,"Power County, Idaho",16077,ID
2020,Illinois,East Southeast,Crawford,63.8,"Crawford County, Illinois",17033,IL
2020,Illinois,East Southeast,Lawrence,65.7,"Lawrence County, Illinois",17101,IL
2020,Illinois,Central,Mason,68.8,"Mason County, Illinois",17125,IL
2020,Illinois,Southwest,Monroe,66.9,"Monroe County, Illinois",17133,IL
2020,Illinois,Southwest,Randolph,78.6,"Randolph County, Illinois",17157,IL
2020,Illinois,Southwest,St Clair,77.7,"St Clair County, Illinois",17163,IL
2020,Illinois,Northwest,Stephenson,78.4,"Stephenson County, Illinois",17177,IL
2020,Illinois,Southwest,Washington,67.2,"Washington County, Illinois",17189,IL
2019,Illinois,East Southeast,Crawford,62.5,"Crawford County, Illinois",17033,IL
2019,Illinois,East Southeast,Lawrence,69.7,"Lawrence County, Illinois",17101,IL
2019,Illinois,Central,Mason,64.3,"Mason County, Illinois",17125,IL
2019,Illinois,Southwest,Monroe,64.7,"Monroe County, Illinois",17133,IL
2019,Illinois,Southwest,Randolph,76.1,"Randolph County, Illinois",17157,IL
2019,Illinois,Southwest,St Clair,69.3,"St Clair County, Illinois",17163,IL
2019,Illinois,Northwest,Stephenson,86.2,"Stephenson County, Illinois",17177,IL
2019,Illinois,Southwest,Washington,69.4,"Washington County, Illinois",17189,IL
2018,Illinois,East Southeast,Crawford,65.8,"Crawford County, Illinois",17033,IL
2018,Illinois,East Southeast,Lawrence,58.0,"Lawrence County, Illinois",17101,IL
2018,Illinois,Central,Mason,66.2,"Mason County, Illinois",17125,IL
2018,Illinois,Southwest,Monroe,66.9,"Monroe County, Illinois",17133,IL
2018,Illinois,Southwest,Randolph,73.6,"Randolph County, Illinois",17157,IL
2018,Illinois,Southwest,St Clair,70.0,"St Clair County, Illinois",17163,IL
2018,Illinois,Northwest,Stephenson,73.6,"Stephenson County, Illinois",17177,IL
2018,Illinois,Southwest,Washington,70.7,"Washington County, Illinois",17189,IL
2017,Illinois,East Southeast,Crawford,73.2,"Crawford County, Illinois",17033,IL
2017,Illinois,East Southeast,Lawrence,72.2,"Lawrence County, Illinois",17101,IL
2017,Illinois,Central,Mason,81.6,"Mason County, Illinois",17125,IL
2017,Illinois,Southwest,Monroe,67.8,"Monroe County, Illinois",17133,IL
2017,Illinois,Southwest,Randolph,83.2,"Randolph County, Illinois",17157,IL
2017,Illinois,Southwest,St Clair,74.1,"St Clair County, Illinois",17163,IL
2017,Illinois,Northwest,Stephenson,96.0,"Stephenson County, Illinois",17177,IL
2017,Illinois,Southwest,Washington,81.4,"Washington County, Illinois",17189,IL
2016,Illinois,East Southeast,Crawford,68.5,"Crawford County, Illinois",17033,IL
2016,Illinois,East Southeast,Lawrence,70.6,"Lawrence County, Illinois",17101,IL
2016,Illinois,Central,Mason,76.7,"Mason County, Illinois",17125,IL
2016,Illinois,Southwest,Monroe,73.4,"Monroe County, Illinois",17133,IL
2016,Illinois,Southwest,Randolph,77.9,"Randolph County, Illinois",17157,IL
2016,Illinois,Southwest,St Clair,77.9,"St Clair County, Illinois",17163,IL
2016,Illinois,Northwest,Stephenson,92.8,"Stephenson County, Illinois",17177,IL
2016,Illinois,Southwest,Washington,74.6,"Washington County, Illinois",17189,IL
2015,Illinois,East Southeast,Crawford,53.2,"Crawford County, Illinois",17033,IL
2015,Illinois,East Southeast,Lawrence,62.7,"Lawrence County, Illinois",17101,IL
2015,Illinois,Central,Mason,75.3,"Mason County, Illinois",17125,IL
2015,Illinois,Southwest,Monroe,64.1,"Monroe County, Illinois",17133,IL
2015,Illinois,Southwest,Randolph,68.5,"Randolph County, Illinois",17157,IL
2015,Illinois,Southwest,St Clair,65.9,"St Clair County, Illinois",17163,IL
2015,Illinois,Northwest,Stephenson,75.2,"Stephenson County, Illinois",17177,IL
2015,Illinois,Southwest,Washington,68.4,"Washington County, Illinois",17189,IL
2014,Illinois,East Southeast,Crawford,64.6,"Crawford County, Illinois",17033,IL
2014,Illinois,East Southeast,Lawrence,66.9,"Lawrence County, Illinois",17101,IL
2014,Illinois,Central,Mason,49.6,"Mason County, Illinois",17125,IL
2014,Illinois,Southwest,Monroe,73.7,"Monroe County, Illinois",17133,IL
2014,Illinois,Southwest,Randolph,74.4,"Randolph County, Illinois",17157,IL
2014,Illinois,Southwest,St Clair,69.2,"St Clair County, Illinois",17163,IL
2014,Illinois,Northwest,Stephenson,73.6,"Stephenson County, Illinois",17177,IL
2014,Illinois,Southwest,Washington,70.9,"Washington County, Illinois",17189,IL
2013,Illinois,East Southeast,Crawford,65.8,"Crawford County, Illinois",17033,IL
2013,Illinois,East Southeast,Lawrence,68.3,"Lawrence County, Illinois",17101,IL
2013,Illinois,Central,Mason,49.2,"Mason County, Illinois",17125,IL
2013,Illinois,Southwest,Monroe,63.8,"Monroe County, Illinois",17133,IL
2013,Illinois,Southwest,Randolph,66.2,"Randolph County, Illinois",17157,IL
2013,Illinois,Southwest,St Clair,64.4,"St Clair County, Illinois",17163,IL
2013,Illinois,Northwest,Stephenson,78.9,"Stephenson County, Illinois",17177,IL
2013,Illinois,Southwest,Washington,77.0,"Washington County, Illinois",17189,IL
2012,Illinois,East Southeast,Crawford,65.5,"Crawford County, Illinois",17033,IL
2012,Illinois,East Southeast,Lawrence,52.6,"Lawrence County, Illinois",17101,IL
2012,Illinois,Central,Mason,49.3,"Mason County, Illinois",17125,IL
2012,Illinois,Southwest,Monroe,50.5,"Monroe County, Illinois",17133,IL
2012,Illinois,Southwest,Randolph,60.0,"Randolph County, Illinois",17157,IL
2012,Illinois,Southwest,St Clair,57.6,"St Clair County, Illinois",17163,IL
2012,Illinois,Northwest,Stephenson,84.7,"Stephenson County, Illinois",17177,IL
2012,Illinois,Southwest,Washington,71.3,"Washington County, Illinois",17189,IL
2011,Illinois,East Southeast,Crawford,54.6,"Crawford County, Illinois",17033,IL
2011,Illinois,East Southeast,Lawrence,55.1,"Lawrence County, Illinois",17101,IL
2011,Illinois,Central,Mason,60.6,"Mason County, Illinois",17125,IL
2011,Illinois,Southwest,Monroe,57.8,"Monroe County, Illinois",17133,IL
2011,Illinois,Southwest,Randolph,59.5,"Randolph County, Illinois",17157,IL
2011,Illinois,Southwest,St Clair,60.3,"St Clair County, Illinois",17163,IL
2011,Illinois,Northwest,Stephenson,77.8,"Stephenson County, Illinois",17177,IL
2011,Illinois,Southwest,Washington,64.4,"Washington County, Illinois",17189,IL
2010,Illinois,East Southeast,Crawford,60.4,"Crawford County, Illinois",17033,IL
2010,Illinois,East Southeast,Lawrence,53.9,"Lawrence County, Illinois",17101,IL
2010,Illinois,Central,Mason,30.8,"Mason County, Illinois",17125,IL
2010,Illinois,Southwest,Monroe,50.0,"Monroe County, Illinois",17133,IL
2010,Illinois,Southwest,Randolph,55.6,"Randolph County, Illinois",17157,IL
2010,Illinois,Southwest,St Clair,55.9,"St Clair County, Illinois",17163,IL
2010,Illinois,Northwest,Stephenson,75.9,"Stephenson County, Illinois",17177,IL
2010,Illinois,Southwest,Washington,56.5,"Washington County, Illinois",17189,IL
2009,Illinois,East Southeast,Crawford,54.0,"Crawford County, Illinois",17033,IL
2009,Illinois,East Southeast,Lawrence,50.0,"Lawrence County, Illinois",17101,IL
2009,Illinois,Central,Mason,54.0,"Mason County, Illinois",17125,IL
2009,Illinois,Southwest,Monroe,58.0,"Monroe County, Illinois",17133,IL
2009,Illinois,Southwest,Randolph,53.0,"Randolph County, Illinois",17157,IL
2009,Illinois,Southwest,St Clair,55.0,"St Clair County, Illinois",17163,IL
2009,Illinois,Northwest,Stephenson,69.0,"Stephenson County, Illinois",17177,IL
2009,Illinois,Southwest,Washington,57.0,"Washington County, Illinois",17189,IL
2008,Illinois,East Southeast,Crawford,61.0,"Crawford County, Illinois",17033,IL
2008,Illinois,East Southeast,Lawrence,65.0,"Lawrence County, Illinois",17101,IL
2008,Illinois,Central,Mason,64.0,"Mason County, Illinois",17125,IL
2008,Illinois,Southwest,Monroe,58.0,"Monroe County, Illinois",17133,IL
2008,Illinois,Southwest,Randolph,64.0,"Randolph County, Illinois",17157,IL
2008,Illinois,Southwest,St Clair,62.0,"St Clair County, Illinois",17163,IL
2008,Illinois,Northwest,Stephenson,66.0,"Stephenson County, Illinois",17177,IL
2008,Illinois,Southwest,Washington,64.0,"Washington County, Illinois",17189,IL
2007,Illinois,East Southeast,Crawford,50.0,"Crawford County, Illinois",17033,IL
2007,Illinois,East Southeast,Lawrence,54.0,"Lawrence County, Illinois",17101,IL
2007,Illinois,Central,Mason,50.0,"Mason County, Illinois",17125,IL
2007,Illinois,Southwest,Monroe,43.0,"Monroe County, Illinois",17133,IL
2007,Illinois,Southwest,Randolph,46.0,"Randolph County, Illinois",17157,IL
2007,Illinois,Southwest,St Clair,46.0,"St Clair County, Illinois",17163,IL
2007,Illinois,Northwest,Stephenson,77.0,"Stephenson County, Illinois",17177,IL
2007,Illinois,Southwest,Washington,50.0,"Washington County, Illinois",17189,IL
2006,Illinois,East Southeast,Crawford,73.0,"Crawford County, Illinois",17033,IL
2006,Illinois,East Southeast,Lawrence,68.0,"Lawrence County, Illinois",17101,IL
2006,Illinois,Central,Mason,58.0,"Mason County, Illinois",17125,IL
2006,Illinois,Southwest,Monroe,56.0,"Monroe County, Illinois",17133,IL
2006,Illinois,Southwest,Randolph,56.0,"Randolph County, Illinois",17157,IL
2006,Illinois,Southwest,St Clair,59.0,"St Clair County, Illinois",17163,IL
2006,Illinois,Northwest,Stephenson,77.0,"Stephenson County, Illinois",17177,IL
2006,Illinois,Southwest,Washington,61.0,"Washington County, Illinois",17189,IL
2005,Illinois,East Southeast,Crawford,63.0,"Crawford County, Illinois",17033,IL
2005,Illinois,East Southeast,Lawrence,54.0,"Lawrence County, Illinois",17101,IL
2005,Illinois,Central,Mason,39.0,"Mason County, Illinois",17125,IL
2005,Illinois,Southwest,Monroe,56.0,"Monroe County, Illinois",17133,IL
2005,Illinois,Southwest,Randolph,52.0,"Randolph County, Illinois",17157,IL
2005,Illinois,Southwest,St Clair,58.0,"St Clair County, Illinois",17163,IL
2005,Illinois,Northwest,Stephenson,67.0,"Stephenson County, Illinois",17177,IL
2005,Illinois,Southwest,Washington,58.0,"Washington County, Illinois",17189,IL
2004,Illinois,East Southeast,Crawford,59.0,"Crawford County, Illinois",17033,IL
2004,Illinois,East Southeast,Lawrence,60.0,"Lawrence County, Illinois",17101,IL
2004,Illinois,Central,Mason,66.0,"Mason County, Illinois",17125,IL
2004,Illinois,Southwest,Monroe,56.0,"Monroe County, Illinois",17133,IL
2004,Illinois,Southwest,Randolph,54.0,"Randolph County, Illinois",17157,IL
2004,Illinois,Southwest,St Clair,57.0,"St Clair County, Illinois",17163,IL
2004,Illinois,Northwest,Stephenson,48.0,"Stephenson County, Illinois",17177,IL
2004,Illinois,Southwest,Washington,55.0,"Washington County, Illinois",17189,IL
2003,Illinois,East Southeast,Crawford,70.0,"Crawford County, Illinois",17033,IL
2003,Illinois,East Southeast,Lawrence,48.0,"Lawrence County, Illinois",17101,IL
2003,Illinois,Central,Mason,70.0,"Mason County, Illinois",17125,IL
2003,Illinois,Southwest,Monroe,57.0,"Monroe County, Illinois",17133,IL
2003,Illinois,Southwest,Randolph,55.0,"Randolph County, Illinois",17157,IL
2003,Illinois,Southwest,St Clair,62.0,"St Clair County, Illinois",17163,IL
2003,Illinois,Northwest,Stephenson,72.0,"Stephenson County, Illinois",17177,IL
2003,Illinois,Southwest,Washington,58.0,"Washington County, Illinois",17189,IL
2002,Illinois,East Southeast,Crawford,52.0,"Crawford County, Illinois",17033,IL
2002,Illinois,East Southeast,Lawrence,49.0,"Lawrence County, Illinois",17101,IL
2002,Illinois,Central,Mason,59.0,"Mason County, Illinois",17125,IL
2002,Illinois,Southwest,Monroe,47.0,"Monroe County, Illinois",17133,IL
2002,Illinois,Southwest,Randolph,50.0,"Randolph County, Illinois",17157,IL
2002,Illinois,Southwest,St Clair,44.0,"St Clair County, Illinois",17163,IL
2002,Illinois,Northwest,Stephenson,57.0,"Stephenson County, Illinois",17177,IL
2002,Illinois,Southwest,Washington,39.0,"Washington County, Illinois",17189,IL
2001,Illinois,East Southeast,Crawford,60.0,"Crawford County, Illinois",17033,IL
2001,Illinois,East Southeast,Lawrence,60.0,"Lawrence County, Illinois",17101,IL
2001,Illinois,Central,Mason,57.0,"Mason County, Illinois",17125,IL
2001,Illinois,Southwest,Monroe,62.0,"Monroe County, Illinois",17133,IL
2001,Illinois,Southwest,Randolph,61.0,"Randolph County, Illinois",17157,IL
2001,Illinois,Southwest,St Clair,60.0,"St Clair County, Illinois",17163,IL
2001,Illinois,Northwest,Stephenson,68.0,"Stephenson County, Illinois",17177,IL
2001,Illinois,Southwest,Washington,63.0,"Washington County, Illinois",17189,IL
2000,Illinois,East Southeast,Crawford,68.0,"Crawford County, Illinois",17033,IL
2000,Illinois,East Southeast,Lawrence,57.0,"Lawrence County, Illinois",17101,IL
2000,Illinois,Central,Mason,58.0,"Mason County, Illinois",17125,IL
2000,Illinois,Southwest,Monroe,52.0,"Monroe County, Illinois",17133,IL
2000,Illinois,Southwest,Randolph,48.0,"Randolph County, Illinois",17157,IL
2000,Illinois,Southwest,St Clair,51.0,"St Clair County, Illinois",17163,IL
2000,Illinois,Northwest,Stephenson,65.0,"Stephenson County, Illinois",17177,IL
2000,Illinois,Southwest,Washington,57.0,"Washington County, Illinois",17189,IL
1999,Illinois,East Southeast,Crawford,55.0,"Crawford County, Illinois",17033,IL
1999,Illinois,East Southeast,Lawrence,54.0,"Lawrence County, Illinois",17101,IL
1999,Illinois,Central,Mason,63.0,"Mason County, Illinois",17125,IL
1999,Illinois,Southwest,Monroe,59.0,"Monroe County, Illinois",17133,IL
1999,Illinois,Southwest,Randolph,53.0,"Randolph County, Illinois",17157,IL
1999,Illinois,Southwest,St Clair,58.0,"St Clair County, Illinois",17163,IL
1999,Illinois,Northwest,Stephenson,72.0,"Stephenson County, Illinois",17177,IL
1999,Illinois,Southwest,Washington,66.0,"Washington County, Illinois",17189,IL
1998,Illinois,East Southeast,Crawford,44.0,"Crawford County, Illinois",17033,IL
1998,Illinois,East Southeast,Lawrence,48.0,"Lawrence County, Illinois",17101,IL
1998,Illinois,Central,Mason,53.0,"Mason County, Illinois",17125,IL
1998,Illinois,Southwest,Monroe,47.0,"Monroe County, Illinois",17133,IL
1998,Illinois,Southwest,Randolph,45.0,"Randolph County, Illinois",17157,IL
1998,Illinois,Southwest,St Clair,49.0,"St Clair County, Illinois",17163,IL
1998,Illinois,Northwest,Stephenson,66.0,"Stephenson County, Illinois",17177,IL
1998,Illinois,Southwest,Washington,47.0,"Washington County, Illinois",17189,IL
1997,Illinois,East Southeast,Crawford,59.0,"Crawford County, Illinois",17033,IL
1997,Illinois,East Southeast,Lawrence,58.0,"Lawrence County, Illinois",17101,IL
1997,Illinois,Central,Mason,59.0,"Mason County, Illinois",17125,IL
1997,Illinois,Southwest,Monroe,63.0,"Monroe County, Illinois",17133,IL
1997,Illinois,Southwest,Randolph,59.0,"Randolph County, Illinois",17157,IL
1997,Illinois,Southwest,St Clair,63.0,"St Clair County, Illinois",17163,IL
1997,Illinois,Northwest,Stephenson,56.0,"Stephenson County, Illinois",17177,IL
1997,Illinois,Southwest,Washington,64.0,"Washington County, Illinois",17189,IL
1996,Illinois,East Southeast,Crawford,35.0,"Crawford County, Illinois",17033,IL
1996,Illinois,East Southeast,Lawrence,28.0,"Lawrence County, Illinois",17101,IL
1996,Illinois,Central,Mason,49.0,"Mason County, Illinois",17125,IL
1996,Illinois,Southwest,Monroe,47.0,"Monroe County, Illinois",17133,IL
1996,Illinois,Southwest,Randolph,45.0,"Randolph County, Illinois",17157,IL
1996,Illinois,Southwest,St Clair,43.0,"St Clair County, Illinois",17163,IL
1996,Illinois,Northwest,Stephenson,41.0,"Stephenson County, Illinois",17177,IL
1996,Illinois,Southwest,Washington,40.0,"Washington County, Illinois",17189,IL
1995,Illinois,East Southeast,Crawford,51.0,"Crawford County, Illinois",17033,IL
1995,Illinois,East Southeast,Lawrence,52.0,"Lawrence County, Illinois",17101,IL
1995,Illinois,Central,Mason,44.0,"Mason County, Illinois",17125,IL
1995,Illinois,Southwest,Monroe,44.0,"Monroe County, Illinois",17133,IL
1995,Illinois,Southwest,Randolph,44.0,"Randolph County, Illinois",17157,IL
1995,Illinois,Southwest,St Clair,45.0,"St Clair County, Illinois",17163,IL
1995,Illinois,Northwest,Stephenson,68.0,"Stephenson County, Illinois",17177,IL
1995,Illinois,Southwest,Washington,48.0,"Washington County, Illinois",17189,IL
1994,Illinois,East Southeast,Crawford,60.0,"Crawford County, Illinois",17033,IL
1994,Illinois,East Southeast,Lawrence,57.0,"Lawrence County, Illinois",17101,IL
1994,Illinois,Central,Mason,54.0,"Mason County, Illinois",17125,IL
1994,Illinois,Southwest,Monroe,54.0,"Monroe County, Illinois",17133,IL
1994,Illinois,Southwest,Randolph,51.0,"Randolph County, Illinois",17157,IL
