Year,State,Ag District,County,Value,Location,ANSI Code,State Initial
2002,Alabama,Northern Valley,Lauderdale,25.0,"Lauderdale County, Alabama",01077,AL
2002,Alabama,Northern Valley,Limestone,25.0,"Limestone County, Alabama",01083,AL
2002,Alabama,Northern Valley,Madison,23.0,"Madison County, Alabama",01089,AL
2001,Alabama,Mountains & Eastern Valley,De Kalb,38.0,"De Kalb County, Alabama",01049,AL
2001,Alabama,Northern Valley,Lauderdale,38.0,"Lauderdale County, Alabama",01077,AL
2001,Alabama,Northern Valley,Limestone,35.0,"Limestone County, Alabama",01083,AL
2001,Alabama,Northern Valley,Madison,34.0,"Madison County, Alabama",01089,AL
2000,Alabama,Mountains & Eastern Valley,De Kalb,25.0,"De Kalb County, Alabama",01049,AL
2000,Alabama,Northern Valley,Lauderdale,9.0,"Lauderdale County, Alabama",01077,AL
2000,Alabama,Northern Valley,Limestone,17.0,"Limestone County, Alabama",01083,AL
2000,Alabama,Northern Valley,Madison,20.0,"Madison County, Alabama",01089,AL
1999,Alabama,Mountains & Eastern Valley,De Kalb,15.0,"De Kalb County, Alabama",01049,AL
1999,Alabama,Northern Valley,Lauderdale,6.0,"Lauderdale County, Alabama",01077,AL
1999,Alabama,Northern Valley,Limestone,8.0,"Limestone County, Alabama",01083,AL
1999,Alabama,Northern Valley,Madison,12.0,"Madison County, Alabama",01089,AL
1998,Alabama,Mountains & Eastern Valley,De Kalb,20.0,"De Kalb County, Alabama",01049,AL
1998,Alabama,Northern Valley,Lauderdale,27.0,"Lauderdale County, Alabama",01077,AL
1998,Alabama,Northern Valley,Limestone,22.0,"Limestone County, Alabama",01083,AL
1998,Alabama,Northern Valley,Madison,22.0,"Madison County, Alabama",01089,AL
1997,Alabama,Mountains & Eastern Valley,De Kalb,26.0,"De Kalb County, Alabama",01049,AL
1997,Alabama,Northern Valley,Lauderdale,27.0,"Lauderdale County, Alabama",01077,AL
1997,Alabama,Northern Valley,Limestone,30.0,"Limestone County, Alabama",01083,AL
1997,Alabama,Northern Valley,Madison,27.0,"Madison County, Alabama",01089,AL
1996,Alabama,Mountains & Eastern Valley,De Kalb,36.0,"De Kalb County, Alabama",01049,AL
1996,Alabama,Northern Valley,Lauderdale,36.0,"Lauderdale County, Alabama",01077,AL
1996,Alabama,Northern Valley,Limestone,36.0,"Limestone County, Alabama",01083,AL
1996,Alabama,Northern Valley,Madison,37.0,"Madison County, Alabama",01089,AL
1995,Alabama,Mountains & Eastern Valley,De Kalb,25.0,"De Kalb County, Alabama",01049,AL
1995,Alabama,Northern Valley,Lauderdale,27.0,"Lauderdale County, Alabama",01077,AL
1995,Alabama,Northern Valley,Limestone,24.0,"Limestone County, Alabama",01083,AL
1995,Alabama,Northern Valley,Madison,24.0,"Madison County, Alabama",01089,AL
1994,Alabama,Mountains & Eastern Valley,De Kalb,37.1,"De Kalb County, Alabama",01049,AL
1994,Alabama,Northern Valley,Lauderdale,27.2,"Lauderdale County, Alabama",01077,AL
1994,Alabama,Northern Valley,Limestone,32.6,"Limestone County, Alabama",01083,AL
1994,Alabama,Northern Valley,Madison,36.3,"Madison County, Alabama",01089,AL
1993,Alabama,Mountains & Eastern Valley,De Kalb,24.7,"De Kalb County, Alabama",01049,AL
1993,Alabama,Northern Valley,Lauderdale,23.9,"Lauderdale County, Alabama",01077,AL
1993,Alabama,Northern Valley,Limestone,28.2,"Limestone County, Alabama",01083,AL
1993,Alabama,Northern Valley,Madison,25.6,"Madison County, Alabama",01089,AL
1992,Alabama,Mountains & Eastern Valley,De Kalb,32.8,"De Kalb County, Alabama",01049,AL
1992,Alabama,Northern Valley,Lauderdale,30.5,"Lauderdale County, Alabama",01077,AL
1992,Alabama,Northern Valley,Limestone,29.9,"Limestone County, Alabama",01083,AL
1992,Alabama,Northern Valley,Madison,31.0,"Madison County, Alabama",01089,AL
1991,Alabama,Mountains & Eastern Valley,De Kalb,22.0,"De Kalb County, Alabama",01049,AL
1991,Alabama,Northern Valley,Lauderdale,25.0,"Lauderdale County, Alabama",01077,AL
1991,Alabama,Northern Valley,Limestone,26.5,"Limestone County, Alabama",01083,AL
1991,Alabama,Northern Valley,Madison,28.2,"Madison County, Alabama",01089,AL
2020,Arkansas,East Central,Arkansas,57.5,"Arkansas County, Arkansas",05001,AR
2020,Arkansas,Southeast,Ashley,53.7,"Ashley County, Arkansas",05003,AR
2020,Arkansas,Southeast,Chicot,52.2,"Chicot County, Arkansas",05017,AR
2020,Arkansas,Northeast,Clay,52.0,"Clay County, Arkansas",05021,AR
2020,Arkansas,Northeast,Craighead,47.1,"Craighead County, Arkansas",05031,AR
2020,Arkansas,East Central,Cross,49.0,"Cross County, Arkansas",05037,AR
2020,Arkansas,Southeast,Desha,55.9,"Desha County, Arkansas",05041,AR
2020,Arkansas,Southeast,Drew,55.2,"Drew County, Arkansas",05043,AR
2020,Arkansas,Northeast,Greene,45.5,"Greene County, Arkansas",05055,AR
2020,Arkansas,Northeast,Jackson,39.3,"Jackson County, Arkansas",05067,AR
2020,Arkansas,Southeast,Jefferson,54.2,"Jefferson County, Arkansas",05069,AR
2020,Arkansas,Northeast,Lawrence,42.1,"Lawrence County, Arkansas",05075,AR
2020,Arkansas,Southeast,Lincoln,52.9,"Lincoln County, Arkansas",05079,AR
2020,Arkansas,Northeast,Mississippi,51.9,"Mississippi County, Arkansas",05093,AR
2020,Arkansas,East Central,Monroe,49.6,"Monroe County, Arkansas",05095,AR
2020,Arkansas,Northeast,Poinsett,50.3,"Poinsett County, Arkansas",05111,AR
2020,Arkansas,East Central,Prairie,48.5,"Prairie County, Arkansas",05117,AR
2020,Arkansas,East Central,Saint Francis,48.8,"Saint Francis County, Arkansas",05123,AR
2020,Arkansas,East Central,Woodruff,49.4,"Woodruff County, Arkansas",05147,AR
2019,Arkansas,East Central,Arkansas,58.0,"Arkansas County, Arkansas",05001,AR
2019,Arkansas,Southeast,Ashley,50.6,"Ashley County, Arkansas",05003,AR
2019,Arkansas,Southeast,Chicot,54.1,"Chicot County, Arkansas",05017,AR
2019,Arkansas,Northeast,Clay,48.0,"Clay County, Arkansas",05021,AR
2019,Arkansas,Northeast,Craighead,46.3,"Craighead County, Arkansas",05031,AR
2019,Arkansas,East Central,Cross,52.0,"Cross County, Arkansas",05037,AR
2019,Arkansas,Southeast,Desha,59.8,"Desha County, Arkansas",05041,AR
2019,Arkansas,Southeast,Drew,57.5,"Drew County, Arkansas",05043,AR
2019,Arkansas,Northeast,Greene,45.8,"Greene County, Arkansas",05055,AR
2019,Arkansas,Northeast,Jackson,40.3,"Jackson County, Arkansas",05067,AR
2019,Arkansas,Southeast,Jefferson,54.3,"Jefferson County, Arkansas",05069,AR
2019,Arkansas,Northeast,Lawrence,39.9,"Lawrence County, Arkansas",05075,AR
2019,Arkansas,Southeast,Lincoln,57.2,"Lincoln County, Arkansas",05079,AR
2019,Arkansas,Northeast,Mississippi,47.6,"Mississippi County, Arkansas",05093,AR
2019,Arkansas,East Central,Monroe,47.7,"Monroe County, Arkansas",05095,AR
2019,Arkansas,Northeast,Poinsett,51.0,"Poinsett County, Arkansas",05111,AR
2019,Arkansas,East Central,Prairie,44.0,"Prairie County, Arkansas",05117,AR
2019,Arkansas,East Central,Saint Francis,50.3,"Saint Francis County, Arkansas",05123,AR
2019,Arkansas,East Central,Woodruff,43.8,"Woodruff County, Arkansas",05147,AR
2018,Arkansas,East Central,Arkansas,59.8,"Arkansas County, Arkansas",05001,AR
2018,Arkansas,Southeast,Ashley,54.9,"Ashley County, Arkansas",05003,AR
2018,Arkansas,Southeast,Chicot,52.0,"Chicot County, Arkansas",05017,AR
2018,Arkansas,Northeast,Clay,50.8,"Clay County, Arkansas",05021,AR
2018,Arkansas,Northeast,Craighead,50.0,"Craighead County, Arkansas",05031,AR
2018,Arkansas,East Central,Cross,53.3,"Cross County, Arkansas",05037,AR
2018,Arkansas,Southeast,Desha,59.5,"Desha County, Arkansas",05041,AR
2018,Arkansas,Southeast,Drew,56.9,"Drew County, Arkansas",05043,AR
2018,Arkansas,Northeast,Greene,41.5,"Greene County, Arkansas",05055,AR
2018,Arkansas,Northeast,Jackson,40.1,"Jackson County, Arkansas",05067,AR
2018,Arkansas,Southeast,Jefferson,56.5,"Jefferson County, Arkansas",05069,AR
2018,Arkansas,Northeast,Lawrence,40.4,"Lawrence County, Arkansas",05075,AR
2018,Arkansas,Southeast,Lincoln,55.4,"Lincoln County, Arkansas",05079,AR
2018,Arkansas,Northeast,Mississippi,50.5,"Mississippi County, Arkansas",05093,AR
2018,Arkansas,East Central,Monroe,47.3,"Monroe County, Arkansas",05095,AR
2018,Arkansas,Northeast,Poinsett,56.4,"Poinsett County, Arkansas",05111,AR
2018,Arkansas,East Central,Prairie,53.6,"Prairie County, Arkansas",05117,AR
2018,Arkansas,East Central,Saint Francis,46.2,"Saint Francis County, Arkansas",05123,AR
2018,Arkansas,East Central,Woodruff,45.8,"Woodruff County, Arkansas",05147,AR
2017,Arkansas,East Central,Arkansas,53.7,"Arkansas County, Arkansas",05001,AR
2017,Arkansas,Southeast,Ashley,56.8,"Ashley County, Arkansas",05003,AR
2017,Arkansas,Southeast,Chicot,51.2,"Chicot County, Arkansas",05017,AR
2017,Arkansas,Northeast,Clay,54.8,"Clay County, Arkansas",05021,AR
2017,Arkansas,Northeast,Craighead,53.1,"Craighead County, Arkansas",05031,AR
2017,Arkansas,East Central,Cross,51.1,"Cross County, Arkansas",05037,AR
2017,Arkansas,Southeast,Desha,56.7,"Desha County, Arkansas",05041,AR
2017,Arkansas,Southeast,Drew,54.5,"Drew County, Arkansas",05043,AR
2017,Arkansas,Northeast,Greene,51.0,"Greene County, Arkansas",05055,AR
2017,Arkansas,Northeast,Jackson,42.2,"Jackson County, Arkansas",05067,AR
2017,Arkansas,Southeast,Jefferson,53.1,"Jefferson County, Arkansas",05069,AR
2017,Arkansas,Northeast,Lawrence,42.0,"Lawrence County, Arkansas",05075,AR
2017,Arkansas,Southeast,Lincoln,57.8,"Lincoln County, Arkansas",05079,AR
2017,Arkansas,Northeast,Mississippi,56.7,"Mississippi County, Arkansas",05093,AR
2017,Arkansas,East Central,Monroe,47.2,"Monroe County, Arkansas",05095,AR
2017,Arkansas,Northeast,Poinsett,55.5,"Poinsett County, Arkansas",05111,AR
2017,Arkansas,East Central,Prairie,50.9,"Prairie County, Arkansas",05117,AR
2017,Arkansas,East Central,Saint Francis,49.7,"Saint Francis County, Arkansas",05123,AR
2017,Arkansas,East Central,Woodruff,44.6,"Woodruff County, Arkansas",05147,AR
2016,Arkansas,East Central,Arkansas,54.3,"Arkansas County, Arkansas",05001,AR
2016,Arkansas,Southeast,Ashley,58.2,"Ashley County, Arkansas",05003,AR
2016,Arkansas,Southeast,Chicot,52.7,"Chicot County, Arkansas",05017,AR
2016,Arkansas,Northeast,Clay,46.8,"Clay County, Arkansas",05021,AR
2016,Arkansas,Northeast,Craighead,48.8,"Craighead County, Arkansas",05031,AR
2016,Arkansas,East Central,Cross,47.7,"Cross County, Arkansas",05037,AR
2016,Arkansas,Southeast,Desha,55.7,"Desha County, Arkansas",05041,AR
2016,Arkansas,Southeast,Drew,53.5,"Drew County, Arkansas",05043,AR
2016,Arkansas,Northeast,Greene,43.7,"Greene County, Arkansas",05055,AR
2016,Arkansas,Northeast,Jackson,39.2,"Jackson County, Arkansas",05067,AR
2016,Arkansas,Southeast,Jefferson,52.2,"Jefferson County, Arkansas",05069,AR
2016,Arkansas,Northeast,Lawrence,35.7,"Lawrence County, Arkansas",05075,AR
2016,Arkansas,Southeast,Lincoln,56.2,"Lincoln County, Arkansas",05079,AR
2016,Arkansas,Northeast,Mississippi,48.9,"Mississippi County, Arkansas",05093,AR
2016,Arkansas,East Central,Monroe,43.3,"Monroe County, Arkansas",05095,AR
2016,Arkansas,Northeast,Poinsett,51.0,"Poinsett County, Arkansas",05111,AR
2016,Arkansas,East Central,Prairie,50.0,"Prairie County, Arkansas",05117,AR
2016,Arkansas,East Central,Saint Francis,44.5,"Saint Francis County, Arkansas",05123,AR
2016,Arkansas,East Central,Woodruff,35.7,"Woodruff County, Arkansas",05147,AR
2015,Arkansas,East Central,Arkansas,53.9,"Arkansas County, Arkansas",05001,AR
2015,Arkansas,Southeast,Ashley,56.1,"Ashley County, Arkansas",05003,AR
2015,Arkansas,Southeast,Chicot,53.0,"Chicot County, Arkansas",05017,AR
2015,Arkansas,Northeast,Clay,49.9,"Clay County, Arkansas",05021,AR
2015,Arkansas,Northeast,Craighead,52.0,"Craighead County, Arkansas",05031,AR
2015,Arkansas,East Central,Cross,48.2,"Cross County, Arkansas",05037,AR
2015,Arkansas,Southeast,Desha,61.1,"Desha County, Arkansas",05041,AR
2015,Arkansas,Southeast,Drew,57.0,"Drew County, Arkansas",05043,AR
2015,Arkansas,Northeast,Greene,45.2,"Greene County, Arkansas",05055,AR
2015,Arkansas,Northeast,Jackson,40.5,"Jackson County, Arkansas",05067,AR
2015,Arkansas,Southeast,Jefferson,60.6,"Jefferson County, Arkansas",05069,AR
2015,Arkansas,Northeast,Lawrence,37.9,"Lawrence County, Arkansas",05075,AR
2015,Arkansas,Southeast,Lincoln,58.3,"Lincoln County, Arkansas",05079,AR
2015,Arkansas,Northeast,Mississippi,53.0,"Mississippi County, Arkansas",05093,AR
2015,Arkansas,East Central,Monroe,46.4,"Monroe County, Arkansas",05095,AR
2015,Arkansas,Northeast,Poinsett,51.8,"Poinsett County, Arkansas",05111,AR
2015,Arkansas,East Central,Prairie,47.9,"Prairie County, Arkansas",05117,AR
2015,Arkansas,East Central,Saint Francis,43.4,"Saint Francis County, Arkansas",05123,AR
2015,Arkansas,East Central,Woodruff,40.7,"Woodruff County, Arkansas",05147,AR
2014,Arkansas,East Central,Arkansas,55.1,"Arkansas County, Arkansas",05001,AR
2014,Arkansas,Southeast,Ashley,56.2,"Ashley County, Arkansas",05003,AR
2014,Arkansas,Southeast,Chicot,54.4,"Chicot County, Arkansas",05017,AR
2014,Arkansas,Northeast,Clay,46.1,"Clay County, Arkansas",05021,AR
2014,Arkansas,Northeast,Craighead,52.0,"Craighead County, Arkansas",05031,AR
2014,Arkansas,East Central,Cross,48.2,"Cross County, Arkansas",05037,AR
2014,Arkansas,Southeast,Desha,61.7,"Desha County, Arkansas",05041,AR
2014,Arkansas,Southeast,Drew,58.5,"Drew County, Arkansas",05043,AR
2014,Arkansas,Northeast,Greene,41.2,"Greene County, Arkansas",05055,AR
2014,Arkansas,Northeast,Jackson,39.8,"Jackson County, Arkansas",05067,AR
2014,Arkansas,Southeast,Jefferson,52.8,"Jefferson County, Arkansas",05069,AR
2014,Arkansas,Northeast,Lawrence,38.3,"Lawrence County, Arkansas",05075,AR
2014,Arkansas,Southeast,Lincoln,55.8,"Lincoln County, Arkansas",05079,AR
2014,Arkansas,Northeast,Mississippi,52.4,"Mississippi County, Arkansas",05093,AR
2014,Arkansas,East Central,Monroe,46.4,"Monroe County, Arkansas",05095,AR
2014,Arkansas,Northeast,Poinsett,48.0,"Poinsett County, Arkansas",05111,AR
2014,Arkansas,East Central,Prairie,56.4,"Prairie County, Arkansas",05117,AR
2014,Arkansas,East Central,Saint Francis,37.9,"Saint Francis County, Arkansas",05123,AR
2014,Arkansas,East Central,Woodruff,35.2,"Woodruff County, Arkansas",05147,AR
2013,Arkansas,East Central,Arkansas,51.8,"Arkansas County, Arkansas",05001,AR
2013,Arkansas,Southeast,Ashley,55.1,"Ashley County, Arkansas",05003,AR
2013,Arkansas,Southeast,Chicot,50.9,"Chicot County, Arkansas",05017,AR
2013,Arkansas,Northeast,Clay,48.7,"Clay County, Arkansas",05021,AR
2013,Arkansas,Northeast,Craighead,47.0,"Craighead County, Arkansas",05031,AR
2013,Arkansas,East Central,Cross,47.1,"Cross County, Arkansas",05037,AR
2013,Arkansas,Southeast,Desha,49.5,"Desha County, Arkansas",05041,AR
2013,Arkansas,Southeast,Drew,48.9,"Drew County, Arkansas",05043,AR
2013,Arkansas,Northeast,Greene,36.2,"Greene County, Arkansas",05055,AR
2013,Arkansas,Northeast,Jackson,36.1,"Jackson County, Arkansas",05067,AR
2013,Arkansas,Southeast,Jefferson,44.8,"Jefferson County, Arkansas",05069,AR
2013,Arkansas,Northeast,Lawrence,32.5,"Lawrence County, Arkansas",05075,AR
2013,Arkansas,Southeast,Lincoln,50.3,"Lincoln County, Arkansas",05079,AR
2013,Arkansas,Northeast,Mississippi,41.5,"Mississippi County, Arkansas",05093,AR
2013,Arkansas,East Central,Monroe,43.1,"Monroe County, Arkansas",05095,AR
2013,Arkansas,Northeast,Poinsett,45.5,"Poinsett County, Arkansas",05111,AR
2013,Arkansas,East Central,Prairie,46.8,"Prairie County, Arkansas",05117,AR
2013,Arkansas,East Central,Saint Francis,41.0,"Saint Francis County, Arkansas",05123,AR
2013,Arkansas,East Central,Woodruff,37.5,"Woodruff County, Arkansas",05147,AR
2012,Arkansas,East Central,Arkansas,50.7,"Arkansas County, Arkansas",05001,AR
2012,Arkansas,Southeast,Ashley,50.2,"Ashley County, Arkansas",05003,AR
2012,Arkansas,Southeast,Chicot,51.7,"Chicot County, Arkansas",05017,AR
2012,Arkansas,Northeast,Clay,48.6,"Clay County, Arkansas",05021,AR
2012,Arkansas,Northeast,Craighead,49.4,"Craighead County, Arkansas",05031,AR
2012,Arkansas,East Central,Cross,45.6,"Cross County, Arkansas",05037,AR
2012,Arkansas,Southeast,Desha,53.6,"Desha County, Arkansas",05041,AR
2012,Arkansas,Southeast,Drew,46.5,"Drew County, Arkansas",05043,AR
2012,Arkansas,Northeast,Greene,43.7,"Greene County, Arkansas",05055,AR
2012,Arkansas,Northeast,Jackson,39.5,"Jackson County, Arkansas",05067,AR
2012,Arkansas,Southeast,Jefferson,42.9,"Jefferson County, Arkansas",05069,AR
2012,Arkansas,Northeast,Lawrence,42.3,"Lawrence County, Arkansas",05075,AR
2012,Arkansas,Southeast,Lincoln,52.0,"Lincoln County, Arkansas",05079,AR
2012,Arkansas,Northeast,Mississippi,43.6,"Mississippi County, Arkansas",05093,AR
2012,Arkansas,East Central,Monroe,44.4,"Monroe County, Arkansas",05095,AR
2012,Arkansas,Northeast,Poinsett,45.7,"Poinsett County, Arkansas",05111,AR
2012,Arkansas,East Central,Prairie,47.3,"Prairie County, Arkansas",05117,AR
2012,Arkansas,East Central,Saint Francis,39.9,"Saint Francis County, Arkansas",05123,AR
2012,Arkansas,East Central,Woodruff,37.7,"Woodruff County, Arkansas",05147,AR
2011,Arkansas,East Central,Arkansas,44.3,"Arkansas County, Arkansas",05001,AR
2011,Arkansas,Southeast,Ashley,41.5,"Ashley County, Arkansas",05003,AR
2011,Arkansas,Southeast,Chicot,41.8,"Chicot County, Arkansas",05017,AR
2011,Arkansas,Northeast,Clay,40.3,"Clay County, Arkansas",05021,AR
2011,Arkansas,Northeast,Craighead,40.4,"Craighead County, Arkansas",05031,AR
2011,Arkansas,East Central,Cross,40.6,"Cross County, Arkansas",05037,AR
2011,Arkansas,Southeast,Desha,46.2,"Desha County, Arkansas",05041,AR
2011,Arkansas,Southeast,Drew,46.0,"Drew County, Arkansas",05043,AR
2011,Arkansas,Northeast,Greene,35.2,"Greene County, Arkansas",05055,AR
2011,Arkansas,Northeast,Jackson,30.9,"Jackson County, Arkansas",05067,AR
2011,Arkansas,Southeast,Jefferson,42.3,"Jefferson County, Arkansas",05069,AR
2011,Arkansas,Northeast,Lawrence,33.4,"Lawrence County, Arkansas",05075,AR
2011,Arkansas,Southeast,Lincoln,44.2,"Lincoln County, Arkansas",05079,AR
2011,Arkansas,Northeast,Mississippi,39.0,"Mississippi County, Arkansas",05093,AR
2011,Arkansas,East Central,Monroe,40.3,"Monroe County, Arkansas",05095,AR
2011,Arkansas,Northeast,Poinsett,37.2,"Poinsett County, Arkansas",05111,AR
2011,Arkansas,East Central,Prairie,41.6,"Prairie County, Arkansas",05117,AR
2011,Arkansas,East Central,Saint Francis,39.4,"Saint Francis County, Arkansas",05123,AR
2011,Arkansas,East Central,Woodruff,33.6,"Woodruff County, Arkansas",05147,AR
2010,Arkansas,East Central,Arkansas,43.2,"Arkansas County, Arkansas",05001,AR
2010,Arkansas,Southeast,Ashley,43.3,"Ashley County, Arkansas",05003,AR
2010,Arkansas,Southeast,Chicot,39.9,"Chicot County, Arkansas",05017,AR
2010,Arkansas,Northeast,Clay,37.9,"Clay County, Arkansas",05021,AR
2010,Arkansas,Northeast,Craighead,38.7,"Craighead County, Arkansas",05031,AR
2010,Arkansas,East Central,Cross,36.5,"Cross County, Arkansas",05037,AR
2010,Arkansas,Southeast,Desha,47.6,"Desha County, Arkansas",05041,AR
2010,Arkansas,Southeast,Drew,44.9,"Drew County, Arkansas",05043,AR
2010,Arkansas,Northeast,Greene,31.9,"Greene County, Arkansas",05055,AR
2010,Arkansas,Northeast,Jackson,24.9,"Jackson County, Arkansas",05067,AR
2010,Arkansas,Southeast,Jefferson,38.8,"Jefferson County, Arkansas",05069,AR
2010,Arkansas,Northeast,Lawrence,28.4,"Lawrence County, Arkansas",05075,AR
2010,Arkansas,Southeast,Lincoln,45.2,"Lincoln County, Arkansas",05079,AR
2010,Arkansas,Northeast,Mississippi,34.6,"Mississippi County, Arkansas",05093,AR
